order_id,warehouse,region,product,order_qty,order_date,delivery_date,delivery_time_days,status
ORD-1000,WH-C,West,Router,42,2026-02-16 06:22:56.185879,2026-03-24 06:22:56.186200,4.0,Pending
ORD-1001,WH-A,West,Laptop,30,2026-02-25 06:22:56.185905,2026-03-15 06:22:56.186205,12.0,Pending
ORD-1002,WH-C,South,Switch,19,2026-03-13 06:22:56.185910,2026-03-13 06:22:56.186207,13.0,Pending
ORD-1003,WH-C,North,Server,17,2026-02-14 06:22:56.185913,2026-03-01 06:22:56.186209,9.0,Pending
ORD-1004,WH-A,East,Laptop,19,2026-02-18 06:22:56.185916,2026-03-11 06:22:56.186211,3.0,Delivered
ORD-1005,WH-A,East,Laptop,28,2026-03-12 06:22:56.185918,2026-02-24 06:22:56.186213,12.0,Delivered
ORD-1006,WH-C,North,Router,26,2026-03-15 06:22:56.185920,2026-03-01 06:22:56.186215,9.0,Delayed
ORD-1007,WH-B,East,Router,37,2026-02-23 06:22:56.185922,2026-03-12 06:22:56.186216,7.0,Pending
ORD-1008,WH-C,East,Switch,26,2026-02-15 06:22:56.185924,2026-03-13 06:22:56.186218,12.0,Delayed
ORD-1009,WH-C,North,Server,23,2026-03-12 06:22:56.185926,2026-03-06 06:22:56.186220,14.0,Delivered
ORD-1010,WH-C,West,Router,9,2026-03-04 06:22:56.185928,2026-03-14 06:22:56.186221,4.0,Delivered
ORD-1011,WH-C,North,Laptop,12,2026-03-22 06:22:56.185929,2026-03-15 06:22:56.186223,3.0,Delivered
ORD-1012,WH-A,West,Server,1,2026-02-14 06:22:56.185931,2026-03-01 06:22:56.186225,10.0,Delivered
ORD-1013,WH-C,East,Server,1,2026-02-11 06:22:56.185933,2026-03-06 06:22:56.186226,5.0,Delivered
ORD-1014,WH-B,East,Laptop,47,2026-02-25 06:22:56.185935,2026-03-16 06:22:56.186229,5.0,Delivered
ORD-1015,WH-A,East,Router,34,2026-02-15 06:22:56.185936,2026-03-18 06:22:56.186231,3.0,Delivered
ORD-1016,WH-B,South,Laptop,32,2026-01-29 06:22:56.185938,2026-02-25 06:22:56.186233,12.0,Pending
ORD-1017,WH-B,West,Server,48,2026-03-14 06:22:56.185940,2026-03-03 06:22:56.186235,9.0,Delayed
ORD-1018,WH-B,South,Storage,25,2026-01-28 06:22:56.185942,2026-02-25 06:22:56.186237,,Delivered
ORD-1019,WH-B,South,Storage,40,2026-02-27 06:22:56.185943,2026-03-24 06:22:56.186238,11.0,Pending
ORD-1020,WH-A,North,Switch,45,2026-03-01 06:22:56.185946,2026-02-22 06:22:56.186240,5.0,Pending
ORD-1021,WH-A,South,Laptop,1,2026-02-18 06:22:56.185947,2026-03-16 06:22:56.186242,4.0,Delayed
ORD-1022,WH-B,North,Laptop,16,2026-03-17 06:22:56.185949,2026-03-04 06:22:56.186243,,Delivered
ORD-1023,WH-B,North,Switch,39,2026-03-10 06:22:56.185951,2026-03-14 06:22:56.186245,7.0,Delayed
ORD-1024,WH-A,South,Switch,5,2026-03-07 06:22:56.185952,2026-02-26 06:22:56.186247,9.0,Delivered
ORD-1025,WH-A,West,Switch,22,2026-02-19 06:22:56.185963,2026-03-20 06:22:56.186249,7.0,Pending
ORD-1026,WH-A,West,Server,29,2026-02-07 06:22:56.185965,2026-02-27 06:22:56.186250,13.0,Pending
ORD-1027,WH-C,West,Laptop,3,2026-03-07 06:22:56.185967,2026-03-10 06:22:56.186252,5.0,Pending
ORD-1028,WH-C,West,Server,12,2026-03-19 06:22:56.185969,2026-03-07 06:22:56.186254,10.0,Pending
ORD-1029,WH-C,West,Switch,26,2026-03-12 06:22:56.185970,2026-03-08 06:22:56.186255,10.0,Delayed
ORD-1030,WH-B,South,Laptop,16,2026-03-08 06:22:56.185972,2026-03-10 06:22:56.186257,7.0,Delivered
ORD-1031,WH-C,South,Server,37,2026-03-05 06:22:56.185974,2026-03-05 06:22:56.186259,14.0,Delivered
ORD-1032,WH-B,East,Server,22,2026-03-19 06:22:56.185976,2026-03-04 06:22:56.186260,10.0,Delayed
ORD-1033,WH-B,West,Switch,29,2026-02-19 06:22:56.185978,2026-03-21 06:22:56.186262,5.0,Delivered
ORD-1034,WH-C,South,Laptop,14,2026-02-02 06:22:56.185979,2026-03-01 06:22:56.186264,3.0,Pending
ORD-1035,WH-B,East,Switch,28,2026-03-12 06:22:56.185981,2026-03-15 06:22:56.186265,7.0,Delivered
ORD-1036,WH-C,West,Laptop,5,2026-02-03 06:22:56.185983,2026-03-11 06:22:56.186267,13.0,Pending
ORD-1037,WH-C,North,Storage,47,2026-03-04 06:22:56.185984,2026-03-24 06:22:56.186269,11.0,Delayed
ORD-1038,WH-A,East,Router,49,2026-01-24 06:22:56.185986,2026-02-25 06:22:56.186270,11.0,Delivered
ORD-1039,WH-C,South,Router,30,2026-03-01 06:22:56.185988,2026-03-20 06:22:56.186272,2.0,Delayed
ORD-1040,WH-A,North,Router,46,2026-03-09 06:22:56.185989,2026-03-19 06:22:56.186273,12.0,Delivered
ORD-1041,WH-C,North,Switch,5,2026-03-03 06:22:56.185992,2026-03-21 06:22:56.186283,9.0,Pending
ORD-1042,WH-C,North,Storage,12,2026-03-07 06:22:56.185993,2026-03-16 06:22:56.186285,10.0,Delayed
ORD-1043,WH-A,East,Laptop,16,2026-02-22 06:22:56.185995,2026-03-11 06:22:56.186286,10.0,Delivered
ORD-1044,WH-A,South,Server,26,2026-02-19 06:22:56.185997,2026-02-23 06:22:56.186288,12.0,Pending
ORD-1045,WH-C,North,Laptop,26,2026-02-22 06:22:56.185998,2026-03-09 06:22:56.186290,1.0,Delayed
ORD-1046,WH-B,West,Server,48,2026-03-04 06:22:56.186000,2026-02-27 06:22:56.186291,13.0,Delayed
ORD-1047,WH-A,North,Laptop,21,2026-02-11 06:22:56.186002,2026-03-01 06:22:56.186293,6.0,Delivered
ORD-1048,WH-B,North,Storage,39,2026-03-06 06:22:56.186003,2026-03-16 06:22:56.186294,7.0,Delivered
ORD-1049,WH-B,,Server,36,2026-03-17 06:22:56.186005,2026-03-16 06:22:56.186296,14.0,Delivered
ORD-1050,WH-B,East,Switch,33,2026-01-29 06:22:56.186007,2026-02-28 06:22:56.186298,13.0,Pending
ORD-1051,WH-A,South,Laptop,30,2026-02-26 06:22:56.186008,2026-03-21 06:22:56.186299,8.0,Delivered
ORD-1052,WH-B,,Laptop,37,2026-02-19 06:22:56.186010,2026-03-06 06:22:56.186301,10.0,Delayed
ORD-1053,WH-A,East,Server,23,2026-01-26 06:22:56.186012,2026-03-23 06:22:56.186303,9.0,Delayed
ORD-1054,WH-B,North,Switch,10,2026-03-20 06:22:56.186014,2026-02-22 06:22:56.186304,2.0,Delivered
ORD-1055,WH-C,South,Switch,5,2026-02-09 06:22:56.186015,2026-03-18 06:22:56.186306,11.0,Delivered
ORD-1056,WH-C,North,Storage,36,2026-03-18 06:22:56.186017,2026-03-16 06:22:56.186308,,Delayed
ORD-1057,WH-A,,Switch,34,2026-02-07 06:22:56.186019,2026-02-22 06:22:56.186309,2.0,Pending
ORD-1058,WH-C,East,Switch,31,2026-03-13 06:22:56.186021,2026-03-23 06:22:56.186311,,Delivered
ORD-1059,WH-C,South,Switch,10,2026-02-05 06:22:56.186022,2026-03-19 06:22:56.186313,13.0,Delivered
ORD-1060,WH-B,West,Router,19,2026-01-29 06:22:56.186024,2026-03-15 06:22:56.186314,5.0,Delayed
ORD-1061,WH-A,West,Storage,32,2026-02-20 06:22:56.186026,2026-03-02 06:22:56.186316,6.0,Delivered
ORD-1062,WH-B,East,Laptop,1,2026-03-18 06:22:56.186028,2026-03-02 06:22:56.186318,3.0,Pending
ORD-1063,WH-B,East,Server,5,2026-02-11 06:22:56.186029,2026-02-27 06:22:56.186319,8.0,Delayed
ORD-1064,WH-B,South,Laptop,45,2026-02-06 06:22:56.186031,2026-03-05 06:22:56.186321,13.0,Delivered
ORD-1065,WH-B,West,Storage,4,2026-02-15 06:22:56.186033,2026-03-07 06:22:56.186323,1.0,Delayed
ORD-1066,WH-B,West,Server,16,2026-02-07 06:22:56.186035,2026-03-12 06:22:56.186324,6.0,Delivered
ORD-1067,WH-B,West,Storage,24,2026-03-17 06:22:56.186036,2026-02-26 06:22:56.186326,4.0,Delivered
ORD-1068,WH-B,North,Switch,16,2026-03-01 06:22:56.186038,2026-02-27 06:22:56.186328,1.0,Delivered
ORD-1069,WH-A,West,Server,2,2026-03-23 06:22:56.186040,2026-03-16 06:22:56.186329,7.0,Pending
ORD-1070,WH-C,North,Switch,49,2026-02-01 06:22:56.186041,2026-03-19 06:22:56.186331,9.0,Pending
ORD-1071,WH-B,South,Laptop,28,2026-02-01 06:22:56.186043,2026-02-23 06:22:56.186332,13.0,Delayed
ORD-1072,WH-B,North,Laptop,32,2026-02-26 06:22:56.186045,2026-03-06 06:22:56.186334,4.0,Delivered
ORD-1073,WH-B,South,Server,27,2026-01-23 06:22:56.186046,2026-02-27 06:22:56.186336,4.0,Delivered
ORD-1074,WH-B,West,Server,20,2026-03-03 06:22:56.186048,2026-03-18 06:22:56.186338,6.0,Pending
ORD-1075,WH-B,West,Storage,24,2026-02-27 06:22:56.186050,2026-02-27 06:22:56.186339,12.0,Delivered
ORD-1076,WH-B,South,Storage,12,2026-02-25 06:22:56.186051,2026-03-22 06:22:56.186341,3.0,Pending
ORD-1077,WH-C,East,Switch,35,2026-02-03 06:22:56.186053,2026-03-07 06:22:56.186343,13.0,Delivered
ORD-1078,WH-C,South,Server,33,2026-02-23 06:22:56.186055,2026-03-07 06:22:56.186344,12.0,Delayed
ORD-1079,WH-B,East,Laptop,33,2026-02-17 06:22:56.186057,2026-03-08 06:22:56.186346,6.0,Delivered
ORD-1080,WH-C,North,Storage,43,2026-02-24 06:22:56.186059,2026-03-24 06:22:56.186347,7.0,Delivered
ORD-1081,WH-A,North,Storage,37,2026-02-24 06:22:56.186060,2026-03-09 06:22:56.186349,11.0,Pending
ORD-1082,WH-B,North,Laptop,12,2026-01-29 06:22:56.186062,2026-03-05 06:22:56.186350,,Delivered
ORD-1083,WH-A,West,Storage,3,2026-02-15 06:22:56.186064,2026-02-26 06:22:56.186352,10.0,Delivered
ORD-1084,WH-A,North,Switch,1,2026-03-17 06:22:56.186065,2026-03-20 06:22:56.186354,3.0,Pending
ORD-1085,WH-B,East,Server,33,2026-03-02 06:22:56.186067,2026-03-18 06:22:56.186355,7.0,Delayed
ORD-1086,WH-C,North,Laptop,40,2026-02-27 06:22:56.186069,2026-03-03 06:22:56.186357,14.0,Delayed
ORD-1087,WH-A,South,Server,10,2026-02-04 06:22:56.186070,2026-02-22 06:22:56.186359,3.0,Pending
ORD-1088,WH-B,South,Storage,43,2026-03-16 06:22:56.186072,2026-02-27 06:22:56.186360,13.0,Pending
ORD-1089,WH-A,West,Storage,44,2026-03-18 06:22:56.186074,2026-03-24 06:22:56.186362,13.0,Pending
ORD-1090,WH-A,South,Laptop,29,2026-02-23 06:22:56.186075,2026-03-23 06:22:56.186363,2.0,Pending
ORD-1091,WH-A,East,Switch,13,2026-03-19 06:22:56.186077,2026-03-21 06:22:56.186365,12.0,Pending
ORD-1092,WH-A,North,Router,12,2026-03-17 06:22:56.186079,2026-03-05 06:22:56.186367,14.0,Delayed
ORD-1093,WH-C,West,Laptop,31,2026-03-19 06:22:56.186081,2026-03-08 06:22:56.186368,10.0,Delayed
ORD-1094,WH-A,North,Router,46,2026-02-18 06:22:56.186082,2026-03-20 06:22:56.186370,4.0,Pending
ORD-1095,WH-A,North,Router,2,2026-02-05 06:22:56.186084,2026-03-06 06:22:56.186372,12.0,Delivered
ORD-1096,WH-A,East,Switch,35,2026-02-08 06:22:56.186086,2026-03-18 06:22:56.186373,8.0,Pending
ORD-1097,WH-C,South,Router,23,2026-03-23 06:22:56.186087,2026-03-09 06:22:56.186375,13.0,Delivered
ORD-1098,WH-A,South,Router,17,2026-01-25 06:22:56.186089,2026-03-07 06:22:56.186376,9.0,Pending
ORD-1099,WH-A,,Switch,26,2026-01-28 06:22:56.186091,2026-02-28 06:22:56.186378,7.0,Pending
ORD-1100,WH-C,West,Router,8,2026-03-01 06:22:56.186093,2026-03-15 06:22:56.186380,1.0,Delayed
ORD-1101,WH-C,South,Router,29,2026-02-02 06:22:56.186094,2026-03-06 06:22:56.186381,3.0,Delivered
ORD-1102,WH-C,West,Router,26,2026-02-01 06:22:56.186096,2026-03-16 06:22:56.186383,13.0,Delivered
ORD-1103,WH-A,South,Laptop,10,2026-02-24 06:22:56.186098,2026-03-13 06:22:56.186385,12.0,Delayed
ORD-1104,WH-C,West,Laptop,26,2026-02-05 06:22:56.186100,2026-03-12 06:22:56.186386,14.0,Delayed
ORD-1105,WH-C,East,Laptop,34,2026-03-05 06:22:56.186101,2026-03-23 06:22:56.186388,9.0,Delayed
ORD-1106,WH-A,West,Switch,41,2026-03-04 06:22:56.186103,2026-02-28 06:22:56.186390,12.0,Delayed
ORD-1107,WH-C,East,Storage,7,2026-03-03 06:22:56.186105,2026-03-11 06:22:56.186391,1.0,Delivered
ORD-1108,WH-A,East,Router,4,2026-02-24 06:22:56.186106,2026-03-07 06:22:56.186393,9.0,Delivered
ORD-1109,WH-B,West,Router,45,2026-01-23 06:22:56.186108,2026-03-16 06:22:56.186395,,Pending
ORD-1110,WH-C,East,Switch,11,2026-03-21 06:22:56.186110,2026-03-01 06:22:56.186396,1.0,Pending
ORD-1111,WH-B,North,Router,29,2026-02-27 06:22:56.186112,2026-02-27 06:22:56.186398,6.0,Delayed
ORD-1112,WH-A,East,Laptop,36,2026-02-07 06:22:56.186113,2026-03-08 06:22:56.186400,5.0,Delayed
ORD-1113,WH-C,South,Storage,25,2026-02-18 06:22:56.186115,2026-03-12 06:22:56.186402,6.0,Delayed
ORD-1114,WH-A,West,Server,21,2026-02-24 06:22:56.186117,2026-03-13 06:22:56.186404,10.0,Pending
ORD-1115,WH-B,North,Router,36,2026-03-17 06:22:56.186118,2026-03-10 06:22:56.186406,12.0,Pending
ORD-1116,WH-A,West,Laptop,10,2026-02-04 06:22:56.186120,2026-03-15 06:22:56.186407,13.0,Pending
ORD-1117,WH-C,South,Server,37,2026-02-21 06:22:56.186122,2026-03-21 06:22:56.186409,13.0,Pending
ORD-1118,WH-C,South,Storage,9,2026-03-19 06:22:56.186124,2026-03-07 06:22:56.186410,13.0,Pending
ORD-1119,WH-B,South,Server,24,2026-02-16 06:22:56.186125,2026-03-19 06:22:56.186412,5.0,Pending
ORD-1120,WH-A,East,Laptop,35,2026-02-22 06:22:56.186127,2026-02-24 06:22:56.186414,6.0,Pending
ORD-1121,WH-C,East,Server,49,2026-02-15 06:22:56.186129,2026-03-22 06:22:56.186416,5.0,Delayed
ORD-1122,WH-B,West,Switch,35,2026-02-21 06:22:56.186131,2026-03-11 06:22:56.186417,11.0,Delayed
ORD-1123,WH-C,West,Server,48,2026-02-04 06:22:56.186132,2026-03-24 06:22:56.186419,12.0,Delayed
ORD-1124,WH-C,North,Router,36,2026-02-09 06:22:56.186134,2026-02-24 06:22:56.186420,,Delayed
ORD-1125,WH-A,North,Router,18,2026-03-09 06:22:56.186136,2026-02-23 06:22:56.186422,4.0,Pending
ORD-1126,WH-C,West,Switch,49,2026-03-17 06:22:56.186137,2026-03-12 06:22:56.186424,,Delivered
ORD-1127,WH-A,East,Laptop,39,2026-01-26 06:22:56.186139,2026-03-11 06:22:56.186425,3.0,Pending
ORD-1128,WH-C,South,Router,32,2026-03-19 06:22:56.186141,2026-03-10 06:22:56.186427,4.0,Delivered
ORD-1129,WH-B,West,Storage,24,2026-03-02 06:22:56.186143,2026-03-21 06:22:56.186429,,Delayed
ORD-1130,WH-C,North,Router,23,2026-03-08 06:22:56.186145,2026-03-20 06:22:56.186431,2.0,Pending
ORD-1131,WH-A,East,Router,32,2026-02-23 06:22:56.186146,2026-03-03 06:22:56.186433,9.0,Delayed
ORD-1132,WH-A,West,Laptop,37,2026-03-22 06:22:56.186148,2026-03-13 06:22:56.186435,1.0,Pending
ORD-1133,WH-B,West,Server,12,2026-03-12 06:22:56.186150,2026-02-24 06:22:56.186437,14.0,Delayed
ORD-1134,WH-C,East,Router,49,2026-03-19 06:22:56.186151,2026-03-06 06:22:56.186438,1.0,Delivered
ORD-1135,WH-C,West,Switch,13,2026-03-04 06:22:56.186153,2026-03-17 06:22:56.186440,5.0,Delivered
ORD-1136,WH-B,East,Server,23,2026-02-17 06:22:56.186155,2026-03-18 06:22:56.186442,,Delivered
ORD-1137,WH-C,South,Storage,25,2026-03-14 06:22:56.186156,2026-03-10 06:22:56.186443,6.0,Pending
ORD-1138,WH-C,East,Laptop,35,2026-03-22 06:22:56.186158,2026-03-04 06:22:56.186445,3.0,Delivered
ORD-1139,WH-A,East,Storage,41,2026-03-01 06:22:56.186160,2026-02-24 06:22:56.186447,7.0,Pending
ORD-1140,WH-C,East,Server,30,2026-02-28 06:22:56.186161,2026-03-10 06:22:56.186448,9.0,Delivered
ORD-1141,WH-C,West,Server,17,2026-02-20 06:22:56.186163,2026-03-12 06:22:56.186450,11.0,Delivered
ORD-1142,WH-B,West,Server,49,2026-02-14 06:22:56.186165,2026-03-08 06:22:56.186452,12.0,Pending
ORD-1143,WH-B,East,Storage,20,2026-02-19 06:22:56.186167,2026-02-25 06:22:56.186453,10.0,Pending
ORD-1144,WH-A,West,Server,48,2026-03-16 06:22:56.186169,2026-02-24 06:22:56.186455,8.0,Delivered
ORD-1145,WH-C,North,Storage,25,2026-02-25 06:22:56.186170,2026-03-10 06:22:56.186457,6.0,Pending
ORD-1146,WH-C,North,Server,22,2026-01-31 06:22:56.186172,2026-02-23 06:22:56.186458,12.0,Delivered
ORD-1147,WH-C,,Switch,13,2026-02-20 06:22:56.186174,2026-03-08 06:22:56.186460,8.0,Pending
ORD-1148,WH-A,West,Server,19,2026-02-18 06:22:56.186176,2026-03-07 06:22:56.186462,12.0,Delayed
ORD-1149,WH-A,East,Storage,49,2026-02-15 06:22:56.186196,2026-02-26 06:22:56.186464,5.0,Delayed
ORD-1101,WH-C,South,Router,29,2026-02-02 06:22:56.186094,2026-03-06 06:22:56.186381,3.0,Delivered
ORD-1082,WH-B,North,Laptop,12,2026-01-29 06:22:56.186062,2026-03-05 06:22:56.186350,,Delivered
ORD-1031,WH-C,South,Server,37,2026-03-05 06:22:56.185974,2026-03-05 06:22:56.186259,14.0,Delivered
ORD-1064,WH-B,South,Laptop,45,2026-02-06 06:22:56.186031,2026-03-05 06:22:56.186321,13.0,Delivered
ORD-1067,WH-B,West,Storage,24,2026-03-17 06:22:56.186036,2026-02-26 06:22:56.186326,4.0,Delivered
